hemis_credits_total,hemis_credits_passed,hemis_credits_failed,hemis_credit_pass_rate,target_success_75,matric_school_name,teaching_language,teacher_language_alternation_helped,school_language_same_as_home,english_language_level,school_fee_source,matric_class_size,school_location,school_facilities_count,school_facilities_used_count,school_commute_mode,used_online_learning,school_leadership_activity,school_meal_source,school_academic_achievement,home_resources_count,family_attended_university,home_location,general_support_source,has_dependents,number_of_dependents,has_disability_or_special_needs,plans_part_time_work,part_time_hours,concern_academic,concern_financial,concern_adjustment_belonging,concern_accommodation_transport,concern_safety_health,concern_time_management,concern_any,programme_choice,first_choice_influence,university_accommodation,accommodation_type,accommodation_internet,accommodation_backup_power,distance_from_campus,travel_to_campus,travel_time_to_8am,devices_owned_count,tuition_funding,accommodation_funding,living_expense_funding,applied_nsfas,nsfas_approved,father_employment_status,mother_employment_status
1.0,1.0,0.0,1.0,1.0,Zonkizizwe Secondary School ,English,1.0,1.0,Second,"Bursary e.g., Sasol, Eskom etc.",Between 41 and 60,Township,7,7,Walking,0.0,1.0,School based feeding programme,School leaving,5,0.0,Township,Both Parents,0.0,0.0,0.0,0.0,0.0,1,1,0,0,1,1,1,First,Passion,Accommodation,Self Catering,1.0,0.0,Between 15km and 19km,University bus service,Between 31 minutes and an hour,2,NSFAS,NSFAS,NSFAS,1.0,1.0,,Domestic servant or unskilled labour
1.0,1.0,0.0,1.0,1.0,El tabernacle Christian college ,English,1.0,0.0,Second,Parents or guardians,Less than 20,Private school,13,13,Boarding school,1.0,0.0,School based food garden,Bachelor,5,1.0,Township,Both Parents,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,1,1,Second,The desire to make a difference,University Residence,Self Catering,1.0,1.0,Between 6km and 9km,University bus service,Between 31 minutes and an hour,2,Parent/Parents,Parent/Parents,Funding arrangements not finalized (if none of the above options apply),0.0,0.0,Employed and earning salary/wages,Employed and earning salary/wages
0.969,0.969,0.0,1.0,1.0,Mphanama Secondary School ,English,1.0,1.0,First,Parents or guardians,Between 20 and 30,Suburb/City/Town,8,8,Walking,1.0,0.0,School based feeding programme,Bachelor,5,1.0,Township,No support,0.0,0.0,0.0,0.0,0.0,1,1,1,0,1,1,1,Second,Passion,University Residence,Self Catering,1.0,1.0,Between 10km and 14km,University bus service,Between 31 minutes and an hour,1,NSFAS,NSFAS,NSFAS,1.0,1.0,,Unable to work/disabled and not receiving a disability grant
1.0,1.0,0.0,1.0,1.0,Semphato Secondary School,Sepedi,1.0,1.0,Second,Government scholarship/bursary,Between 31 and 40,Township,4,4,Walking,0.0,1.0,Parents provided lunch money,Bachelor,3,0.0,Township,Both Parents,0.0,0.0,0.0,1.0,5.0,1,0,0,0,1,0,1,First,The desire to make a difference,Accommodation,Self Catering,1.0,1.0,Less than 5km,University bus service,Between 31 minutes and an hour,2,NSFAS,NSFAS,NSFAS,1.0,1.0,,
0.08,0.08,0.0,1.0,1.0,Dimani Agricultural high ,Tshivenda,1.0,0.0,First,No fee-paying school,Between 41 and 60,Township,7,6,Public Transport,0.0,1.0,Two meals a day,Bachelor,4,1.0,Suburb/City/Town,Single Parent,0.0,0.0,0.0,1.0,6.0,0,0,0,0,0,1,1,First,Passion,University Residence,Self Catering,1.0,1.0,Greater than 30km,University bus service,Between 31 minutes and an hour,2,NSFAS,NSFAS,NSFAS,1.0,1.0,,
1.0,1.0,0.0,1.0,1.0,Monamoledi ,Sepedi,1.0,1.0,First,No fee-paying school,Greater than 80,Rural Village,6,5,Public Transport,0.0,0.0,One meal a day at home,School leaving,1,0.0,Rural Village,No support,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,1,1,First,Family,University Residence,Self Catering,1.0,0.0,Greater than 30km,University bus service,Between 31 minutes and an hour,1,NSFAS,NSFAS,NSFAS,1.0,1.0,,Unemployed and receiving social grant
1.0,1.0,0.0,1.0,1.0,PInagare Secondary School ,English,1.0,0.0,First,"Parents or guardians, No fee-paying school",Between 41 and 60,Rural Village,4,4,Public Transport,0.0,0.0,School based feeding programme,Bachelor,3,1.0,Rural Village,Both Parents,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,1,1,First,Teachers,Accommodation,Self Catering,1.0,1.0,Between 20km and 30km,University bus service,Between 31 minutes and an hour,1,Parent/Parents,Parent/Parents,"Spouse/Partner e.g., wife, boyfriend etc.",1.0,0.0,Employed and earning salary/wages,Employed and earning salary/wages
0.5,0.5,0.0,1.0,1.0,Tiyani secondary school ,Xitsonga,1.0,0.0,Second,No fee-paying school,Between 61 and 80,Rural Village,5,4,Walking,0.0,1.0,School based feeding programme,Bachelor,2,1.0,Rural Village,Both Parents,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,1,1,First,Other,Accommodation,Self Catering,1.0,1.0,Between 20km and 30km,University bus service,Between 31 minutes and an hour,1,NSFAS,NSFAS,NSFAS,1.0,1.0,Employed and earning salary/wages,Unemployed and looking for work
1.0,1.0,0.0,1.0,1.0,Hoërskool Silverton ,English,0.0,0.0,Second,Parents or guardians,Between 31 and 40,Suburb/City/Town,10,7,Public Transport,0.0,0.0,Parents provided lunch box.,Bachelor,4,1.0,Township,Single Parent,0.0,0.0,0.0,1.0,5.0,1,1,1,0,1,1,1,First,Other,University Residence,Self Catering,1.0,1.0,Between 20km and 30km,University bus service,Between 31 minutes and an hour,1,Parent/Parents,Parent/Parents,Paying for myself,,,,Employed and earning salary/wages
0.08,0.08,0.0,1.0,1.0,Bona Lesedi Secondary school ,English,1.0,0.0,First,No fee-paying school,Between 41 and 60,Suburb/City/Town,7,6,Public Transport,0.0,0.0,Two meals a day,Bachelor,3,1.0,Informal settlement,Single Parent,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,1,1,First,Passion,Accommodation,Self Catering,1.0,1.0,Greater than 30km,University bus service,Between 31 minutes and an hour,1,NSFAS,NSFAS,NSFAS,1.0,1.0,,
